Comunidad,Año,Mes,Numero Paradas
Cantabria,2008,Febrero,23897
Aragón,2008,Febrero,42029
Comunidad Foral de Navarra,2008,Febrero,24592
Galicia,2008,Febrero,161828
Melilla,2008,Febrero,8612
Región de Murcia,2008,Febrero,60261
Andalucía,2008,Febrero,541908
La Rioja,2008,Febrero,12128
País Vasco,2008,Febrero,83319
Comunidad Valenciana,2008,Febrero,242154
Ceuta,2008,Febrero,7395
Cataluña,2008,Febrero,290912
Castilla-La Mancha,2008,Febrero,105519
Extremadura,2008,Julio,80957
Principado de Asturias,2008,Julio,47461
Castilla y León,2008,Julio,113137
Comunidad de Madrid,2008,Julio,268135
Islas Baleares,2008,Julio,39927
Canarias,2008,Julio,176101
Cantabria,2008,Julio,22088
Aragón,2008,Julio,43787
Comunidad Foral de Navarra,2008,Julio,23942
Galicia,2008,Julio,149318
Melilla,2008,Julio,8126
Región de Murcia,2008,Julio,68632
Andalucía,2008,Julio,589360
La Rioja,2008,Julio,11997
País Vasco,2008,Julio,78845
Comunidad Valenciana,2008,Julio,266772
Ceuta,2008,Julio,8017
Cataluña,2008,Julio,321964
Castilla-La Mancha,2008,Julio,108350
Extremadura,2008,Junio,82255
Principado de Asturias,2008,Junio,48959
Castilla y León,2008,Junio,116228
Comunidad de Madrid,2008,Junio,266936
Islas Baleares,2008,Junio,36929
Canarias,2008,Junio,175824
Cantabria,2008,Junio,22984
Aragón,2008,Junio,41687
Comunidad Foral de Navarra,2008,Junio,22737
Galicia,2008,Junio,152708
Melilla,2008,Junio,8494
Región de Murcia,2008,Junio,64512
Andalucía,2008,Junio,570334
La Rioja,2008,Junio,11879
País Vasco,2008,Junio,79001
Comunidad Valenciana,2008,Junio,262865
Ceuta,2008,Junio,8224
Cataluña,2008,Junio,311422
Castilla-La Mancha,2008,Junio,106446
Extremadura,2008,Marzo,78706
Principado de Asturias,2008,Marzo,52474
Castilla y León,2008,Marzo,119121
Comunidad de Madrid,2008,Marzo,253924
Islas Baleares,2008,Marzo,45184
Canarias,2008,Marzo,158842
Cantabria,2008,Marzo,23475
Aragón,2008,Marzo,41737
Comunidad Foral de Navarra,2008,Marzo,23586
Galicia,2008,Marzo,160180
Melilla,2008,Marzo,8395
Región de Murcia,2008,Marzo,57813
Andalucía,2008,Marzo,536591
La Rioja,2008,Marzo,12030
País Vasco,2008,Marzo,82588
Comunidad Valenciana,2008,Marzo,241836
