TERRITORIO;TIPOLOGÍA PENAL;2015;2016; Var. % 16/15
Municipio de Sevilla;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);460;430;-6,5
Municipio de Sevilla;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);578;572;-1,0
Municipio de Sevilla;6.-TRÁFICO DE DROGAS (EU);63;80;27,0
Municipio de Sevilla;7.-DAÑOS;2027;1971;-2,8
Municipio de Sevilla;8.-HURTOS;9743;10010;2,7
Municipio de Utrera;1.-DELITOS Y FALTAS (EU);1426;1099;-22,9
Municipio de Utrera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Utrera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);12;11;-8,3
Municipio de Utrera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);83;36;-56,6
Municipio de Utrera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);33;23;-30,3
Municipio de Utrera;6.-TRÁFICO DE DROGAS (EU);4;6;50,0
Municipio de Utrera;7.-DAÑOS;157;119;-24,2
Municipio de Utrera;8.-HURTOS;382;277;-27,5
ARAGÓN;1.-DELITOS Y FALTAS (EU);19016;18873;-0,8
