TERRITORIO;TIPOLOGÕA PENAL;a_2012;a_2013;Var_porc_13s12
C¢rdoba;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);551;460;-16,5
C¢rdoba;6.-TRµFICO DE DROGAS (EU);133;190;42,9
C¢rdoba;7.-DA•OS;3491;3091;-11,5
C¢rdoba;8.-HURTOS;9469;9471;0,0
Coru§a (A);1.-DELITOS Y FALTAS (EU);33872;32381;-4,4
Coru§a (A);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;7;16,7
Coru§a (A);3.-DELINCUENCIA VIOLENTA (EU);1066;942;-11,6
Coru§a (A);3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);635;557;-12,3
Coru§a (A);4.-ROBOS CON FUERZA;5207;5179;-0,5
Coru§a (A);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1511;1793;18,7
Coru§a (A);5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);670;573;-14,5
Coru§a (A);6.-TRµFICO DE DROGAS (EU);134;132;-1,5
Coru§a (A);7.-DA•OS;4750;4424;-6,9
Coru§a (A);8.-HURTOS;10112;9950;-1,6
Cuenca;1.-DELITOS Y FALTAS (EU);6390;6207;-2,9
Cuenca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0,0
Cuenca;3.-DELINCUENCIA VIOLENTA (EU);158;167;5,7
Cuenca;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);82;95;15,9
Cuenca;4.-ROBOS CON FUERZA;1385;1400;1,1
Cuenca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);410;443;8,0
Cuenca;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);73;60;-17,8
Cuenca;6.-TRµFICO DE DROGAS (EU);29;40;37,9
Cuenca;7.-DA•OS;955;856;-10,4
Cuenca;8.-HURTOS;1653;1733;4,8
EXTRANJERA;1.-DELITOS Y FALTAS (EU);16599;16588;-0,1
EXTRANJERA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100,0
EXTRANJERA;3.-DELINCUENCIA VIOLENTA (EU);213;246;15,5
EXTRANJERA;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);205;234;14,1
EXTRANJERA;4.-ROBOS CON FUERZA;325;272;-16,3
EXTRANJERA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);22;15;-31,8
