TERRITORIO;TIPOLOGÍA PENAL;2014;2015;Var. % 15/14
Municipio de Marbella;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;3;-40,0
Municipio de Marbella;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);286;237;-17,1
Municipio de Marbella;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);548;582;6,2
Municipio de Marbella;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);350;440;25,7
Municipio de Marbella;6.-TRÁFICO DE DROGAS (EU);69;80;15,9
Municipio de Marbella;7.-DAÑOS;880;944;7,3
Municipio de Marbella;8.-HURTOS;3622;3997;10,4
Municipio de Mijas;1.-DELITOS Y FALTAS (EU);5443;5002;-8,1
Municipio de Mijas;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;4;100,0
Municipio de Mijas;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);96;77;-19,8
Municipio de Mijas;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);669;554;-17,2
Municipio de Mijas;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);234;236;0,9
Municipio de Mijas;6.-TRÁFICO DE DROGAS (EU);49;34;-30,6
Municipio de Mijas;7.-DAÑOS;641;583;-9,0
Municipio de Mijas;8.-HURTOS;1574;1504;-4,4
Municipio de Vélez-Málaga;1.-DELITOS Y FALTAS (EU);2723;2712;-0,4
Municipio de Vélez-Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Vélez-Málaga;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);60;30;-50,0
Municipio de Vélez-Málaga;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);108;106;-1,9
Municipio de Vélez-Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);48;63;31,3
Municipio de Vélez-Málaga;6.-TRÁFICO DE DROGAS (EU);36;43;19,4
Municipio de Vélez-Málaga;7.-DAÑOS;279;339;21,5
Municipio de Vélez-Málaga;8.-HURTOS;966;897;-7,1
Municipio de Torremolinos;1.-DELITOS Y FALTAS (EU);4901;4931;0,6
Municipio de Torremolinos;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Torremolinos;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);85;103;21,2
Municipio de Torremolinos;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);139;131;-5,8
Municipio de Torremolinos;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);99;110;11,1
Municipio de Torremolinos;6.-TRÁFICO DE DROGAS (EU);52;55;5,8
Municipio de Torremolinos;7.-DAÑOS;468;469;0,2
Municipio de Torremolinos;8.-HURTOS;1926;1955;1,5
