TERRITORIO;TIPOLOGÍA PENAL;2012_ene_sept;2013_ene_sept;var_porc_13s12
Ávila;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);311;426;37,0
Ávila;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);41;56;36,6
Ávila;6.-TRÁFICO DE DROGAS (EU);27;24;-11,1
Ávila;7.-DAÑOS;755;737;-2,4
Ávila;8.-HURTOS;949;1018;7,3
Burgos;1.-DELITOS Y FALTAS (EU);10148;9184;-9,5
Burgos;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100,0
Burgos;3.-DELINCUENCIA VIOLENTA (EU);256;247;-3,5
Burgos;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);156;167;7,1
Burgos;4.-ROBOS CON FUERZA;1573;1362;-13,4
Burgos;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);411;372;-9,5
Burgos;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);120;95;-20,8
Burgos;6.-TRÁFICO DE DROGAS (EU);49;45;-8,2
Burgos;7.-DAÑOS;1498;1362;-9,1
Burgos;8.-HURTOS;3612;3442;-4,7
León;1.-DELITOS Y FALTAS (EU);12837;12348;-3,8
León;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;6;100,0
León;3.-DELINCUENCIA VIOLENTA (EU);328;317;-3,4
León;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);195;226;15,9
León;4.-ROBOS CON FUERZA;2130;2070;-2,8
León;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);576;549;-4,7
León;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);195;129;-33,8
León;6.-TRÁFICO DE DROGAS (EU);36;34;-5,6
León;7.-DAÑOS;1943;1638;-15,7
León;8.-HURTOS;4300;4459;3,7
Palencia;1.-DELITOS Y FALTAS (EU);3574;3310;-7,4
Palencia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100,0
Palencia;3.-DELINCUENCIA VIOLENTA (EU);52;53;1,9
Palencia;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);36;33;-8,3
Palencia;4.-ROBOS CON FUERZA;513;444;-13,5
Palencia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);133;136;2,3
Palencia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);42;31;-26,2
Palencia;6.-TRÁFICO DE DROGAS (EU);9;18;100,0
Palencia;7.-DAÑOS;612;480;-21,6
Palencia;8.-HURTOS;1024;1062;3,7
Salamanca;1.-DELITOS Y FALTAS (EU);7194;6990;-2,8
Salamanca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Salamanca;3.-DELINCUENCIA VIOLENTA (EU);238;227;-4,6
Salamanca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);116;127;9,5
Salamanca;4.-ROBOS CON FUERZA;875;841;-3,9
Salamanca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);240;244;1,7
Salamanca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);80;60;-25,0
Salamanca;6.-TRÁFICO DE DROGAS (EU);49;46;-6,1
Salamanca;7.-DAÑOS;822;778;-5,4
Salamanca;8.-HURTOS;2868;2773;-3,3
Segovia;1.-DELITOS Y FALTAS (EU);4065;3782;-7,0
Segovia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Segovia;3.-DELINCUENCIA VIOLENTA (EU);71;79;11,3
Segovia;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);39;48;23,1
Segovia;4.-ROBOS CON FUERZA;745;667;-10,5
Segovia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);290;258;-11,0
Segovia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);35;28;-20,0
Segovia;6.-TRÁFICO DE DROGAS (EU);33;26;-21,2
Segovia;7.-DAÑOS;599;598;-0,2
Segovia;8.-HURTOS;1204;1077;-10,5
Soria;1.-DELITOS Y FALTAS (EU);2126;1965;-7,6
Soria;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Soria;3.-DELINCUENCIA VIOLENTA (EU);60;46;-23,3
Soria;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);23;27;17,4
Soria;4.-ROBOS CON FUERZA;291;285;-2,1
Soria;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);60;90;50,0
Soria;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);19;17;-10,5
Soria;6.-TRÁFICO DE DROGAS (EU);8;15;87,5
Soria;7.-DAÑOS;345;305;-11,6
Soria;8.-HURTOS;637;597;-6,3
Valladolid;1.-DELITOS Y FALTAS (EU);15202;15316;0,7
Valladolid;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;3;50,0
Valladolid;3.-DELINCUENCIA VIOLENTA (EU);319;263;-17,6
Valladolid;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);209;148;-29,2
Valladolid;4.-ROBOS CON FUERZA;2248;2184;-2,8
Valladolid;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);606;596;-1,7
Valladolid;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);134;141;5,2
Valladolid;6.-TRÁFICO DE DROGAS (EU);44;65;47,7
Valladolid;7.-DAÑOS;2042;1898;-7,1
Valladolid;8.-HURTOS;5503;5999;9,0
Zamora;1.-DELITOS Y FALTAS (EU);3707;3503;-5,5
Zamora;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;3;50,0
Zamora;3.-DELINCUENCIA VIOLENTA (EU);85;80;-5,9
Zamora;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);55;54;-1,8
Zamora;4.-ROBOS CON FUERZA;645;596;-7,6
Zamora;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);141;150;6,4
Zamora;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);53;54;1,9
Zamora;6.-TRÁFICO DE DROGAS (EU);26;19;-26,9
Zamora;7.-DAÑOS;434;431;-0,7
Zamora;8.-HURTOS;1131;1114;-1,5
CASTILLA Y LEÓN;1.-DELITOS Y FALTAS (EU);63114;60661;-3,9
CASTILLA Y LEÓN;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);8;19;137,5
CASTILLA Y LEÓN;3.-DELINCUENCIA VIOLENTA (EU);1496;1381;-7,7
CASTILLA Y LEÓN;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);881;870;-1,2
CASTILLA Y LEÓN;4.-ROBOS CON FUERZA;9787;9326;-4,7
CASTILLA Y LEÓN;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2768;2821;1,9
CASTILLA Y LEÓN;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);719;611;-15,0
CASTILLA Y LEÓN;6.-TRÁFICO DE DROGAS (EU);281;292;3,9
